//salto 10
0,1,1,1,0-
3,3,3,3,3-
3,3,3,3,3-
3,3,3,3,3-
3,3,3,3,3-
0,0,0,0,0-

//doble salto con barras
0,1,1,1,0-
3,3,3,3,3-
3,3,3,3,3-
3,3,3,3,3-
3,3,3,3,3-
1,1,3,1,1-
3,3,3,3,3-
3,3,3,3,3-
3,3,3,3,3-
3,3,3,3,3-
3,1,1,1,3-
3,3,3,3,3-
3,3,3,3,3-
3,3,3,3,3-
3,3,3,3,3-
0,0,0,0,0-

//doble salto solo
0,1,1,1,0-
3,3,3,3,3-
3,3,3,3,3-
3,3,3,3,3-
3,3,3,3,3-
1,3,3,3,1-
3,3,3,3,3-
3,3,3,3,3-
3,3,3,3,3-
3,3,3,3,3-
3,3,1,3,3-
3,3,3,3,3-
3,3,3,3,3-
3,3,3,3,3-
3,3,3,3,3-
0,0,0,0,0-



//doble salto 20
0,1,1,1,0-
3,3,3,3,3-
3,3,3,3,3-
3,3,3,3,3-
3,3,3,3,3-
3,3,1,3,3-
3,3,3,3,3-
3,3,3,3,3-
3,3,3,3,3-
3,3,3,3,3-
0,0,0,0,0-
0,0,0,0,0-
0,0,0,0,0-
0,0,0,0,0-
0,0,0,0,0-
0,0,0,0,0-




//linea 10
0,0,0,0,0-
0,2,0,2,0-
0,2,0,2,0-
0,2,0,2,0-
0,2,0,2,0-
0,2,0,2,0-
0,2,0,2,0-
0,2,0,2,0-
0,0,0,0,0-




//zig zag
0,0,0,0,0-
0,0,0,0,2-
0,0,0,2,2-
0,0,2,2,2-
0,0,2,2,2-
0,0,2,2,2-
0,0,0,2,2-
2,0,0,0,2-
2,2,0,0,0-
2,2,2,0,0-
2,2,2,0,0-
2,2,2,0,0-
2,2,0,0,0-
2,0,0,0,0-
2,2,0,2,2-
2,2,0,2,2-
2,2,0,2,2-
2,2,0,2,2-
0,0,0,0,0-


//linea 10
0,0,0,0,0-
0,2,0,2,0-
0,0,0,2,0-
0,2,0,2,0-
0,0,0,2,0-
0,2,0,2,0-
0,0,0,2,0-
0,2,0,2,0-
0,0,0,0,0-
0,2,0,0,0-


//huecos de 4
0,0,0,0,0-
0,3,3,0,0-
0,3,3,0,0-
0,0,0,0,0-
0,0,0,0,0-
0,0,3,3,0-
0,0,3,3,0-
0,0,0,0,0-
0,0,0,0,0-
0,3,3,0,0-
0,3,3,0,0-
0,0,0,0,0-
0,0,0,0,0-
0,0,3,3,0-
0,0,3,3,0-
0,0,0,0,0-

//random 1
3,3,0,0,0-
3,3,3,0,0-
3,3,3,3,0-
3,3,3,3,0-
3,3,3,3,0-
3,3,3,0,0-
3,3,1,0,3-
3,0,3,0,3-
0,0,3,0,0-
0,3,0,3,0-
0,3,1,3,0-
0,3,0,3,0-
0,0,3,0,0-
0,0,0,0,0-
0,0,0,0,0-
0,3,3,3,0-
0,0,0,0,0-

//random 2



